radius_mean,texture_mean,radius_se,texture_se,radius_worst,texture_worst
17.99,10.38,1.095,0.9053,25.38,17.33
20.57,17.77,0.5435,0.7339,24.99,23.41
19.69,21.25,0.7456,0.7869,23.57,25.53
11.42,20.38,0.4956,1.156,14.91,26.5
20.29,14.34,0.7572,0.7813,22.54,16.67
12.45,15.7,0.3345,0.8902,15.47,23.75
18.25,19.98,0.4467,0.7732,22.88,27.66
13.71,20.83,0.5835,1.377,17.06,28.14
13,21.82,0.3063,1.002,15.49,30.73
12.46,24.04,0.2976,1.599,15.09,40.68
16.02,23.24,0.3795,1.187,19.19,33.88
15.78,17.89,0.5058,0.9849,20.42,27.28
19.17,24.8,0.9555,3.568,20.96,29.94
15.85,23.95,0.4033,1.078,16.84,27.66
13.73,22.61,0.2121,1.169,15.03,32.01
14.54,27.54,0.37,1.033,17.46,37.13
14.68,20.13,0.4727,1.24,19.07,30.88
16.13,20.68,0.5692,1.073,20.96,31.48
19.81,22.15,0.7582,1.017,27.32,30.88
13.54,14.36,0.2699,0.7886,15.11,19.26
13.08,15.71,0.1852,0.7477,14.5,20.49
9.504,12.44,0.2773,0.9768,10.23,15.66
15.34,14.26,0.4388,0.7096,18.07,19.08
21.16,23.04,0.6917,1.127,29.17,35.59
16.65,21.38,0.8068,0.9017,26.46,31.56
17.14,16.4,1.046,0.976,22.25,21.4
14.58,21.53,0.2545,0.9832,17.62,33.21
18.61,20.25,0.8529,1.849,21.31,27.26
15.3,25.27,0.439,1.012,20.27,36.71
17.57,15.05,0.6003,0.8225,20.01,19.52
18.63,25.11,0.8307,1.466,23.15,34.01
11.84,18.7,0.4825,1.03,16.82,28.12
17.02,23.98,0.6009,1.398,20.88,32.09
19.27,26.47,0.5558,0.6062,24.15,30.9
16.13,17.88,0.334,0.6857,20.21,27.26
16.74,21.59,0.4615,0.9197,20.01,29.02
14.25,21.72,0.286,1.019,15.89,30.36
13.03,18.42,0.1839,2.342,13.3,22.81
14.99,25.2,1.214,2.188,14.99,25.2
13.48,20.82,0.213,0.5914,15.53,26.02
13.44,21.58,0.2385,0.8265,15.93,30.25
10.95,21.35,0.2366,1.428,12.84,35.34
19.07,24.81,0.9811,1.666,24.09,33.17
13.28,20.28,0.3704,0.8249,17.38,28
13.17,21.81,0.1938,0.6123,16.23,29.89
18.65,17.6,0.6289,0.6633,22.82,21.32
8.196,16.84,0.1563,0.9567,8.964,21.96
13.17,18.66,0.2871,0.8937,15.67,27.95
12.05,14.63,0.2636,0.7294,13.76,20.7
13.49,22.3,0.2338,1.353,15.15,31.82
11.76,21.6,0.4062,1.21,12.98,25.72
13.64,16.34,0.1872,0.9234,14.67,23.19
11.94,18.24,0.2273,0.6329,13.1,21.33
18.22,18.7,0.8337,1.593,20.6,24.13
15.1,22.02,0.3105,0.8339,18.1,31.69
11.52,18.75,0.3249,0.9591,12.84,22.47
19.21,18.57,0.7275,1.193,26.14,28.14
14.71,21.59,0.4226,1.15,17.87,30.7
13.05,19.31,0.404,1.214,14.23,22.25
8.618,11.79,0.1559,0.5796,9.507,15.4
10.17,14.88,0.5158,1.441,11.02,17.45
8.598,20.98,0.3582,2.067,9.565,27.04
14.25,22.15,0.7036,1.268,17.67,29.51
9.173,13.86,0.4098,2.265,10.01,19.23
12.68,23.84,0.4255,1.178,17.09,33.47
14.78,23.94,0.3577,1.281,17.31,33.39
9.465,21.01,0.2351,2.011,10.41,31.56
11.31,19.04,0.2727,0.9429,12.33,23.84
9.029,17.33,0.3274,1.194,10.31,22.65
12.78,16.49,0.2368,0.8732,13.46,19.76
18.94,21.31,0.7888,0.7975,24.86,26.58
8.888,14.64,0.5262,0.8522,9.733,15.67
17.2,24.52,0.5907,1.041,23.32,33.82
13.8,15.79,0.2787,0.6205,16.57,20.86
12.31,16.52,0.2505,1.025,14.11,23.21
16.07,19.65,0.7474,1.016,19.77,24.56
13.53,10.94,0.4101,1.014,14.08,12.49
18.05,16.15,0.9806,0.5505,22.39,18.91
20.18,23.97,0.9317,1.885,23.37,31.72
12.86,18,0.2655,1.095,14.24,24.82
11.45,20.97,0.3251,2.174,13.11,32.16
13.34,15.86,0.286,1.016,15.53,23.19
25.22,24.91,0.8973,1.474,30,33.62
19.1,26.29,0.519,2.91,20.33,32.72
12,15.65,0.2271,1.255,13.67,24.9
18.46,18.52,0.6997,1.475,22.93,27.68
14.48,21.46,0.4204,2.22,16.21,29.25
19.02,24.59,0.5495,0.6636,24.56,30.41
12.36,21.8,0.2978,1.502,13.83,30.5
14.64,15.24,0.5115,0.7372,16.34,18.24
14.62,24.02,0.3721,1.111,16.11,29.11
15.37,22.76,0.3129,0.8413,16.43,25.84
13.27,14.76,0.4057,1.153,16.36,22.35
13.45,18.3,0.295,1.373,15.1,25.94
15.06,19.83,0.4768,0.9644,18.23,24.23
20.26,23.03,0.7576,1.509,24.22,31.59
12.18,17.84,0.3661,1.511,12.83,20.92
9.787,19.94,0.335,2.043,10.92,26.29
11.6,12.84,0.2315,0.5391,13.06,17.16
14.42,19.77,0.2895,1.851,16.33,30.86
13.61,24.98,0.4565,1.29,16.99,35.27
6.981,13.43,0.2241,1.508,7.93,19.54
12.18,20.52,0.1924,1.571,13.34,32.84
9.876,19.4,0.1803,1.222,10.76,26.83
10.49,19.29,0.355,1.534,11.54,23.31
13.11,15.56,0.3908,0.9238,16.31,22.4
11.64,18.33,0.306,1.657,13.14,29.26
12.36,18.54,0.1199,0.8944,13.29,27.49
22.27,19.67,1.215,1.545,28.4,28.01
11.34,21.26,0.2344,0.9861,13.01,29.15
9.777,16.99,0.403,1.424,11.05,21.47
12.63,20.76,0.3424,1.803,13.33,25.47
14.26,19.65,0.3628,1.49,15.3,23.73
10.51,20.19,0.3336,1.86,11.16,22.75
8.726,15.83,0.1665,0.5864,9.628,19.62
11.93,21.53,0.3118,0.9227,13.67,26.15
8.95,15.76,0.3132,0.9789,9.414,17.07
14.87,16.67,0.4266,0.9489,18.81,27.37
15.78,22.91,0.552,1.072,20.19,30.5
17.95,20.01,0.5506,1.214,20.58,27.83
11.41,10.82,0.1408,0.4607,12.82,15.97
18.66,17.12,0.7128,1.581,22.25,24.9
24.25,20.2,1.509,3.12,26.02,23.99
14.5,10.89,0.2929,0.857,15.7,15.98
13.37,16.39,0.1639,1.14,14.26,22.75
13.85,17.21,0.2185,0.8561,15.49,23.58
13.61,24.69,0.231,1.005,16.89,35.64
19,18.91,0.6896,1.342,22.32,25.73
15.1,16.39,0.4309,1.068,16.11,18.33
19.79,25.12,0.4953,1.199,22.63,33.58
12.19,13.29,0.2005,0.8163,13.34,17.81
15.46,19.48,0.4743,0.7859,19.26,26
16.16,21.54,0.4332,1.265,19.47,31.68
15.71,13.93,0.3117,0.8155,17.5,19.25
18.45,21.91,0.5959,1.202,22.52,31.39
12.77,22.47,0.2367,1.38,14.49,33.37
11.71,16.67,0.4489,2.508,13.33,25.48
11.43,15.39,0.1759,0.9938,12.32,22.02
14.95,17.57,1.296,1.452,18.55,21.43
11.28,13.39,0.3384,1.343,11.92,15.77
9.738,11.97,0.1988,0.496,10.62,14.1
16.11,18.05,0.7049,1.332,19.92,25.27
11.43,17.31,0.2843,1.908,12.78,26.76
12.9,15.92,0.2143,0.7712,14.48,21.82
10.75,14.97,0.2525,1.239,11.95,20.72
11.9,14.65,0.3962,0.6538,13.15,16.51
11.8,16.58,0.3197,1.426,13.74,26.38
14.95,18.77,0.422,1.909,16.25,25.47
14.44,15.18,0.2406,0.7394,15.85,19.85
13.74,17.91,0.25,0.7574,15.34,22.46
13,20.78,0.4202,1.322,14.16,24.11
8.219,20.7,0.1935,1.962,9.092,29.72
9.731,15.34,0.8245,2.664,11.02,19.49
11.15,13.08,0.2251,0.7815,11.99,16.3
13.15,15.34,0.271,0.7927,14.77,20.5
12.25,17.94,0.22,0.9823,13.59,25.22
17.68,20.74,0.8113,1.4,20.47,25.11
16.84,19.46,0.4789,2.06,18.22,28.07
12.06,12.74,0.1822,0.7285,13.14,18.41
10.9,12.96,0.2818,0.7614,12.36,18.2
11.75,20.18,0.5018,1.693,13.32,26.21
19.19,15.94,1,0.6336,22.03,17.81
19.59,18.15,0.7364,1.048,26.73,26.39
12.34,22.22,0.2949,1.656,13.58,28.68
23.27,22.04,0.6642,0.8561,28.01,28.22
14.97,19.76,0.184,1.065,15.98,25.82
10.8,9.71,0.1728,0.4064,11.6,12.02
16.78,18.8,0.599,1.391,20.05,26.3
17.47,24.68,1.088,1.41,23.14,32.33
14.97,16.95,0.2713,1.217,16.11,23
